model_tag,model,verb_pair,verb_display,n_items,SS_mean,SS_ci_lo,SS_ci_hi,SP_mean,SP_ci_lo,SP_ci_hi,PS_mean,PS_ci_lo,PS_ci_hi,PP_mean,PP_ci_lo,PP_ci_hi,plural_attr_mean,plural_attr_ci_lo,plural_attr_ci_hi,singular_attr_mean,singular_attr_ci_lo,singular_attr_ci_hi,asymmetry_mean,asymmetry_ci_lo,asymmetry_ci_hi,SS_acc,SP_acc,PS_acc,PP_acc
phi2,Phi-2,be_present,is / are,399,6.1913952002848,6.123097726276943,6.266957845484702,1.9437906437350394,1.8423820620491391,2.037734306007997,5.094841075122805,5.037972416734337,5.150179294834758,6.681675253655379,6.642505291530065,6.7191281888120455,4.247604556549761,4.1688421229670825,4.330792008246993,1.5868341785325741,1.544335260964874,1.6315461130668047,2.6607703780171863,2.5782326915210354,2.74201307075663,1.0,1.0,1.0,1.0
phi2,Phi-2,be_past,was / were,400,5.869225721359253,5.790490238368511,5.948558776497841,1.9204255366325378,1.8214737286567688,2.0137046803236007,4.762072515487671,4.707027941644192,4.8185890542864795,6.2033794355392455,6.16978616809845,6.238321308135986,3.948800184726715,3.8712823587656024,4.030875528216362,1.4413069200515747,1.3992392683029173,1.4820751951932907,2.50749326467514,2.4234843029379847,2.5919580957889554,1.0,1.0,1.0,1.0
phi2,Phi-2,have_present,has / have,396,5.397099675554218,5.341831445814383,5.452113212298865,1.8028177468463629,1.7031490436708083,1.8958264733805799,5.358049763573541,5.302880472366256,5.412762917773892,6.721126472107088,6.681988076489381,6.761338898027786,3.594281928707855,3.5168314114965575,3.6752069240868694,1.3630767085335471,1.323312817077444,1.4034906862962127,2.231205220174308,2.153735486967395,2.3088774271685666,1.0,1.0,1.0,1.0
phi2,Phi-2,do_present,does / do,371,3.9838012273742183,3.945003177020749,4.020805922994074,1.4423705047031619,1.356207397556048,1.5264390518723152,5.190231742241955,5.139860624476585,5.239063042321938,6.305713553312975,6.27106818998599,6.341601729585797,2.5414307226710564,2.469667263493705,2.6157875700459647,1.1154818110710205,1.0791504955356013,1.1555562664556376,1.425948911600036,1.3491989478910709,1.5015081118380604,1.0,1.0,1.0,1.0
llama32_3b,Llama-3.2-3B,be_present,is / are,399,5.122846177944862,5.04328986528822,5.207297540726817,2.5219298245614037,2.4313625861528823,2.6137325736215535,3.253876879699248,3.1998311207706767,3.309793526785714,5.570429981203008,5.510255130012531,5.632253485275689,2.6009163533834587,2.5300355380639097,2.6758585917919797,2.3165531015037595,2.26226797462406,2.370988016917293,0.28436325187969924,0.21322740444862157,0.3574194274749373,1.0,1.0,1.0,1.0
llama32_3b,Llama-3.2-3B,be_past,was / were,399,4.924185463659148,4.844979147086466,5.0050086152882205,2.3967731829573933,2.30843515037594,2.4890370457393485,3.423578477443609,3.3646146616541355,3.4824213854949875,5.587895520050125,5.529281210839599,5.644706492794486,2.5274122807017543,2.4579921483395992,2.600961877349624,2.164317042606516,2.1091914356203008,2.2175042097431077,0.3630952380952381,0.289922070802005,0.43785293311403506,1.0,1.0,1.0,1.0
llama32_3b,Llama-3.2-3B,have_present,has / have,399,4.477052005012531,4.4066509046052635,4.54652500391604,2.3703203320802007,2.2784872337092734,2.459150317199248,3.4670661027568923,3.414901511591479,3.5209327028508772,5.5455827067669174,5.491770931234336,5.598415961779448,2.1067316729323307,2.038313067825815,2.176747043389724,2.078516604010025,2.024822799185464,2.130624412593985,0.028215068922305766,-0.042909519893483704,0.10229333098370924,1.0,1.0,1.0,1.0
llama32_3b,Llama-3.2-3B,do_present,does / do,399,3.586485745614035,3.5340269619360902,3.6389915217731827,2.123081140350877,2.0409808701441103,2.2045749138471176,3.404174498746867,3.3567576166979953,3.452857730263158,5.232377819548872,5.181571604793233,5.281728980654762,1.463404605263158,1.4035420582706768,1.521188713972431,1.828203320802005,1.7802873883928572,1.8735718691259398,-0.36479871553884713,-0.4291632401315789,-0.29589158442982455,1.0,1.0,1.0,1.0
qwen25_3b,Qwen2.5-3B,be_present,is / are,391,6.062539961636829,5.937384111253197,6.183389945652174,2.294017742966752,2.162833679667519,2.4289976622442455,4.848665281329923,4.770112192295396,4.934044816975703,6.477141943734015,6.40255304907289,6.556221027813299,3.7685222186700766,3.650333679667519,3.8851832241048596,1.628476662404092,1.567064617966752,1.6879011149296674,2.1400455562659846,2.023727221867008,2.2562979539641943,1.0,1.0,1.0,1.0
qwen25_3b,Qwen2.5-3B,be_past,was / were,392,5.499222735969388,5.391513871173469,5.607868801817602,2.1237045599489797,2.0060561822385203,2.2419174505739794,4.400589923469388,4.327046795280612,4.470894451530612,5.79671556122449,5.732950015943877,5.860195113201531,3.375518176020408,3.2734519491390306,3.4715860172193875,1.3961256377551021,1.3444664779974491,1.4467718630420916,1.9793925382653061,1.8837088448660715,2.0778863400829084,1.0,1.0,1.0,1.0
qwen25_3b,Qwen2.5-3B,have_present,has / have,386,5.7315212111398965,5.62564716240285,5.830169203367876,2.3945110103626943,2.2560298939443,2.5295807359132123,5.0334561204663215,4.96042796713083,5.108287625485751,6.437236884715026,6.368334581444301,6.5049556751943,3.3370102007772022,3.2124499068976684,3.453338528173575,1.4037807642487046,1.3493548615608808,1.4556645684909326,1.9332294365284974,1.8152434828367876,2.0519966402202074,1.0,1.0,1.0,1.0
qwen25_3b,Qwen2.5-3B,do_present,does / do,382,4.744109947643979,4.6594179482984295,4.824620623363875,2.123241164921466,2.004938543030105,2.2446575384489527,4.849231020942408,4.7846418929973815,4.915168418684555,6.085221695026178,6.026238342604712,6.1448109252290575,2.6208687827225132,2.517544379908377,2.724156883998691,1.2359906740837696,1.1895441344895288,1.278966582133508,1.3848781086387434,1.2851143242801046,1.481805771433246,1.0,1.0,1.0,1.0
