model,verb_pair,raw_base_items,clean_base_items_margin_gt_0,clean_base_items_margin_gt_1,SS_accuracy,SP_accuracy,PS_accuracy,PP_accuracy,mean_SS_margin,mean_SP_margin,mean_PS_margin,mean_PP_margin,plural_attractor_effect,singular_attractor_effect,asymmetry
phi2,be_present,400,399,331,1.0,0.9975,1.0,1.0,6.188014652729034,1.9388142561912536,5.094891226291656,6.682414672374725,4.2492003965377805,1.5875234460830692,2.6616769504547113
phi2,be_past,400,400,333,1.0,1.0,1.0,1.0,5.869225721359253,1.9204255366325378,4.762072515487671,6.2033794355392455,3.9488001847267156,1.4413069200515745,2.507493264675141
phi2,have_present,400,396,307,1.0,0.99,1.0,1.0,5.390325062274933,1.7842236733436585,5.359164390563965,6.723402597904205,3.606101388931274,1.3642382073402404,2.2418631815910337
phi2,do_present,400,371,250,1.0,0.9275,1.0,1.0,3.94898158788681,1.3234547305107116,5.1834667825698855,6.299556305408478,2.625526857376099,1.1160895228385925,1.5094373345375063
llama32_3b,be_present,400,399,380,1.0,0.9975,1.0,1.0,5.11529296875,2.515390625,3.25365234375,5.5716796875,2.59990234375,2.31802734375,0.2818750000000003
llama32_3b,be_past,400,399,372,1.0,0.9975,1.0,1.0,4.91623046875,2.38958984375,3.42375,5.5894140625,2.526640625,2.1656640625000003,0.3609765624999999
llama32_3b,have_present,400,399,367,1.0,0.9975,1.0,1.0,4.47017578125,2.36376953125,3.4666796875,5.5466015625,2.10640625,2.079921875,0.026484374999999893
llama32_3b,do_present,400,399,356,1.0,0.9975,1.0,1.0,3.58099609375,2.116875,3.4040625,5.2332421875,1.4641210937500002,1.8291796875,-0.3650585937499997
qwen25_3b,be_present,400,391,329,1.0,0.9775,1.0,1.0,6.018828125,2.23708984375,4.84564453125,6.473671875,3.7817382812499996,1.6280273437500004,2.153710937499999
qwen25_3b,be_past,400,392,323,1.0,0.98,1.0,1.0,5.46673828125,2.07740234375,4.4049609375,5.797734375,3.3893359374999994,1.3927734374999998,1.9965624999999996
qwen25_3b,have_present,400,386,324,1.0,0.965,1.0,1.0,5.6715625,2.29984375,5.03041015625,6.43564453125,3.3717187500000003,1.405234375,1.9664843750000003
qwen25_3b,do_present,400,382,313,1.0,0.955,1.0,1.0,4.693125,2.0169140625,4.84494140625,6.0831640625,2.6762109375,1.2382226562499996,1.4379882812500004
