model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
llama32_3b,be_present,extra_long,between_subject_distractor,1,1.8126943407960199,0.036458333333333336,100
llama32_3b,be_present,extra_long,between_subject_distractor,2,1.803093905472637,-0.036380597014925374,100
llama32_3b,be_present,extra_long,between_subject_distractor,3,1.6337064676616915,0.013254042288557213,100
llama32_3b,be_present,extra_long,between_subject_distractor,4,1.5847714552238805,0.014225746268656716,100
llama32_3b,be_present,extra_long,between_subject_distractor,5,1.5082011815920398,-0.03194962686567164,100
llama32_3b,be_present,extra_long,between_subject_distractor,6,1.4056281094527363,-0.009095149253731344,100
llama32_3b,be_present,extra_long,between_subject_distractor,7,0.9835199004975125,-0.004314365671641791,100
llama32_3b,be_present,extra_long,between_subject_distractor,8,0.9624922263681592,-0.005480410447761194,100
llama32_3b,be_present,extra_long,between_subject_distractor,9,0.9251399253731343,-0.0017490671641791045,100
llama32_3b,be_present,extra_long,between_subject_distractor,10,0.8626787935323383,-0.02351523631840796,100
llama32_3b,be_present,extra_long,between_subject_distractor,11,0.6372823383084577,0.01616915422885572,100
llama32_3b,be_present,extra_long,between_subject_distractor,12,0.6371657338308457,0.021455223880597014,100
llama32_3b,be_present,extra_long,between_subject_distractor,13,0.6991215796019901,-3.88681592039801e-05,100
llama32_3b,be_present,extra_long,between_subject_distractor,14,0.5537157960199005,0.034242848258706465,100
llama32_3b,be_present,extra_long,between_subject_distractor,15,0.35560478855721395,0.0154306592039801,100
llama32_3b,be_present,extra_long,between_subject_distractor,16,0.05476523631840796,0.0019045398009950249,100
llama32_3b,be_present,extra_long,between_subject_distractor,17,0.05013992537313433,0.0011660447761194029,100
llama32_3b,be_present,extra_long,between_subject_distractor,18,0.04796330845771144,-0.000388681592039801,100
llama32_3b,be_present,extra_long,between_subject_distractor,19,0.08539334577114428,0.005946828358208955,100
llama32_3b,be_present,extra_long,between_subject_distractor,20,0.06036225124378109,0.0007384950248756219,100
llama32_3b,be_present,extra_long,between_subject_distractor,21,-0.003537002487562189,0.0004275497512437811,100
llama32_3b,be_present,extra_long,between_subject_distractor,22,-0.00816231343283582,0.0010105721393034825,100
llama32_3b,be_present,extra_long,between_subject_distractor,23,0.0025264303482587067,0.0004275497512437811,100
llama32_3b,be_present,extra_long,between_subject_distractor,24,0.0033815298507462684,-0.0005830223880597014,100
llama32_3b,be_present,extra_long,between_subject_distractor,25,0.0025652985074626866,7.77363184079602e-05,100
llama32_3b,be_present,extra_long,between_subject_distractor,26,0.0008939676616915423,-3.88681592039801e-05,100
llama32_3b,be_present,extra_long,between_subject_distractor,27,0.0,0.0,100
llama32_3b,be_present,extra_long,distractor,1,-0.0078125,-0.093515625,100
llama32_3b,be_present,extra_long,distractor,2,0.147421875,-0.023203125,100
llama32_3b,be_present,extra_long,distractor,3,0.075078125,0.01515625,100
llama32_3b,be_present,extra_long,distractor,4,0.036953125,0.055546875,100
llama32_3b,be_present,extra_long,distractor,5,-0.328828125,0.044296875,100
llama32_3b,be_present,extra_long,distractor,6,0.203359375,0.01640625,100
llama32_3b,be_present,extra_long,distractor,7,-0.040703125,-0.028515625,100
llama32_3b,be_present,extra_long,distractor,8,0.061875,-0.016953125,100
llama32_3b,be_present,extra_long,distractor,9,0.02296875,0.03828125,100
llama32_3b,be_present,extra_long,distractor,10,0.190390625,0.002734375,100
llama32_3b,be_present,extra_long,distractor,11,0.08765625,-0.045546875,100
llama32_3b,be_present,extra_long,distractor,12,0.20375,-0.05328125,100
llama32_3b,be_present,extra_long,distractor,13,0.273125,-0.041953125,100
llama32_3b,be_present,extra_long,distractor,14,0.258671875,-0.07265625,100
llama32_3b,be_present,extra_long,distractor,15,0.388515625,0.0196875,100
llama32_3b,be_present,extra_long,distractor,16,0.288125,-0.012109375,100
llama32_3b,be_present,extra_long,distractor,17,0.349375,-0.001171875,100
llama32_3b,be_present,extra_long,distractor,18,0.353046875,-0.001328125,100
llama32_3b,be_present,extra_long,distractor,19,0.499453125,0.00125,100
llama32_3b,be_present,extra_long,distractor,20,0.484453125,-0.003203125,100
llama32_3b,be_present,extra_long,distractor,21,0.0984375,-0.00515625,100
llama32_3b,be_present,extra_long,distractor,22,0.105546875,0.000390625,100
llama32_3b,be_present,extra_long,distractor,23,0.008359375,0.0025,100
llama32_3b,be_present,extra_long,distractor,24,0.011875,-0.001484375,100
llama32_3b,be_present,extra_long,distractor,25,0.016484375,-0.0028125,100
llama32_3b,be_present,extra_long,distractor,26,0.00953125,0.000234375,100
llama32_3b,be_present,extra_long,distractor,27,0.0,0.0,100
llama32_3b,be_present,extra_long,filler_after_distractor,1,0.0658376736111111,-0.014878472222222222,100
llama32_3b,be_present,extra_long,filler_after_distractor,2,0.17483072916666667,-0.02046875,100
llama32_3b,be_present,extra_long,filler_after_distractor,3,0.20088541666666668,0.020455729166666665,100
llama32_3b,be_present,extra_long,filler_after_distractor,4,0.19654079861111112,-0.0033333333333333335,100
llama32_3b,be_present,extra_long,filler_after_distractor,5,0.11356770833333334,-0.0006597222222222222,100
llama32_3b,be_present,extra_long,filler_after_distractor,6,0.2660329861111111,0.021671006944444446,100
llama32_3b,be_present,extra_long,filler_after_distractor,7,0.2518446180555556,0.0031380208333333334,100
llama32_3b,be_present,extra_long,filler_after_distractor,8,0.3056423611111111,-0.0009592013888888889,100
llama32_3b,be_present,extra_long,filler_after_distractor,9,0.3352517361111111,0.0044835069444444445,100
