model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
phi2,be_present,extra_long,between_subject_distractor,1,0.9998400341812058,0.010261663750036438,100
phi2,be_present,extra_long,between_subject_distractor,2,1.5585850103577572,0.027127356078494248,100
phi2,be_present,extra_long,between_subject_distractor,3,1.1641784592054376,0.022089474236787254,100
phi2,be_present,extra_long,between_subject_distractor,4,1.845268491488784,0.0032519867171102493,100
phi2,be_present,extra_long,between_subject_distractor,5,1.6916742609508002,-0.03712050120035807,100
phi2,be_present,extra_long,between_subject_distractor,6,1.622961903092873,-0.023310580656896184,100
phi2,be_present,extra_long,between_subject_distractor,7,1.5190705731140441,0.022183048191355234,100
phi2,be_present,extra_long,between_subject_distractor,8,1.4921184274094614,-0.03718213418229895,100
phi2,be_present,extra_long,between_subject_distractor,9,1.4506462343889683,-0.011562968961041958,100
phi2,be_present,extra_long,between_subject_distractor,10,1.3992571569793852,0.03712103260097219,100
phi2,be_present,extra_long,between_subject_distractor,11,1.2905866423649575,0.07940588898919708,100
phi2,be_present,extra_long,between_subject_distractor,12,1.2776865081407538,0.015343466801429862,100
phi2,be_present,extra_long,between_subject_distractor,13,1.2932958365672858,0.050727360284150536,100
phi2,be_present,extra_long,between_subject_distractor,14,1.2843908528190346,0.06686559363977233,100
phi2,be_present,extra_long,between_subject_distractor,15,1.2114938622090354,0.02235884215701279,100
phi2,be_present,extra_long,between_subject_distractor,16,1.2183263550943404,-0.04199606387769405,100
phi2,be_present,extra_long,between_subject_distractor,17,1.1695834439785326,0.04309389484462453,100
phi2,be_present,extra_long,between_subject_distractor,18,0.9119728382547103,-0.000350980616327542,100
phi2,be_present,extra_long,between_subject_distractor,19,1.1392205888359108,0.009441352009180174,100
phi2,be_present,extra_long,between_subject_distractor,20,1.1168176878744096,0.06488871693018064,100
phi2,be_present,extra_long,between_subject_distractor,21,1.2937003842633754,0.07017163139077562,100
phi2,be_present,extra_long,between_subject_distractor,22,1.8814109735821016,0.05098109933274302,100
phi2,be_present,extra_long,between_subject_distractor,23,0.045177492929335254,0.003557285859217098,100
phi2,be_present,extra_long,between_subject_distractor,24,0.027038460347189833,-0.0007212339942135028,100
phi2,be_present,extra_long,between_subject_distractor,25,0.012530440714821886,-0.006964370385924382,100
phi2,be_present,extra_long,between_subject_distractor,26,0.005566924365598764,0.0006158553545747823,100
phi2,be_present,extra_long,between_subject_distractor,27,0.0007221449666948461,-0.0025770699799950443,100
phi2,be_present,extra_long,between_subject_distractor,28,0.000966095805761233,-2.8164232548196516e-05,100
phi2,be_present,extra_long,between_subject_distractor,29,-3.238696957108986e-05,0.00021249382057000155,100
phi2,be_present,extra_long,between_subject_distractor,30,1.909720956982665e-05,-0.034649483600066075,100
phi2,be_present,extra_long,between_subject_distractor,31,0.0,0.0,100
phi2,be_present,extra_long,distractor,1,0.0494054126739502,-0.015291509628295898,100
phi2,be_present,extra_long,distractor,2,-0.03847771644592285,-0.033820085525512696,100
phi2,be_present,extra_long,distractor,3,-0.47763919830322266,0.07099316596984863,100
phi2,be_present,extra_long,distractor,4,-0.07641805648803711,0.0368402099609375,100
phi2,be_present,extra_long,distractor,5,-0.1281101894378662,-0.015184555053710937,100
phi2,be_present,extra_long,distractor,6,-0.004516515731811523,0.026347255706787108,100
phi2,be_present,extra_long,distractor,7,-0.011665611267089844,0.05197092056274414,100
phi2,be_present,extra_long,distractor,8,-0.14183538436889648,-0.031535282135009765,100
phi2,be_present,extra_long,distractor,9,-0.06366989135742188,0.1143397045135498,100
phi2,be_present,extra_long,distractor,10,0.11137645721435546,-0.01602229118347168,100
phi2,be_present,extra_long,distractor,11,0.10909744262695313,0.05632530212402344,100
phi2,be_present,extra_long,distractor,12,0.1937723159790039,-0.06627630233764649,100
