model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
qwen25_3b,be_present,extra_long,between_subject_distractor,1,2.0109219527363185,0.05457089552238806,100
qwen25_3b,be_present,extra_long,between_subject_distractor,2,2.072333644278607,-0.06261660447761194,100
qwen25_3b,be_present,extra_long,between_subject_distractor,3,1.6826414800995024,0.029500932835820896,100
qwen25_3b,be_present,extra_long,between_subject_distractor,4,2.466456778606965,-0.016946517412935323,100
qwen25_3b,be_present,extra_long,between_subject_distractor,5,2.500272077114428,-0.05460976368159204,100
qwen25_3b,be_present,extra_long,between_subject_distractor,6,2.599269278606965,-0.028762437810945275,100
qwen25_3b,be_present,extra_long,between_subject_distractor,7,2.19892723880597,-0.030783582089552237,100
qwen25_3b,be_present,extra_long,between_subject_distractor,8,2.121307524875622,-3.88681592039801e-05,100
qwen25_3b,be_present,extra_long,between_subject_distractor,9,2.058379975124378,-0.003187189054726368,100
qwen25_3b,be_present,extra_long,between_subject_distractor,10,1.970693407960199,0.03917910447761194,100
qwen25_3b,be_present,extra_long,between_subject_distractor,11,1.9115749378109452,-0.03575870646766169,100
qwen25_3b,be_present,extra_long,between_subject_distractor,12,1.9388992537313432,-0.02355410447761194,100
qwen25_3b,be_present,extra_long,between_subject_distractor,13,2.013798196517413,-0.01900652985074627,100
qwen25_3b,be_present,extra_long,between_subject_distractor,14,1.9869014303482586,0.06708644278606965,100
qwen25_3b,be_present,extra_long,between_subject_distractor,15,1.6071206467661692,-0.010144589552238806,100
qwen25_3b,be_present,extra_long,between_subject_distractor,16,1.2780628109452736,-0.01134950248756219,100
qwen25_3b,be_present,extra_long,between_subject_distractor,17,1.2021532960199004,-0.0013992537313432835,100
qwen25_3b,be_present,extra_long,between_subject_distractor,18,1.1164490049751243,0.022815609452736318,100
qwen25_3b,be_present,extra_long,between_subject_distractor,19,1.0532105099502487,0.0236318407960199,100
qwen25_3b,be_present,extra_long,between_subject_distractor,20,1.029189987562189,0.04761349502487562,100
qwen25_3b,be_present,extra_long,between_subject_distractor,21,1.0317164179104477,-0.0068796641791044775,100
qwen25_3b,be_present,extra_long,between_subject_distractor,22,1.0494791666666667,-0.028023942786069653,100
qwen25_3b,be_present,extra_long,between_subject_distractor,23,1.1031172263681592,0.052666355721393034,100
qwen25_3b,be_present,extra_long,between_subject_distractor,24,1.0672807835820894,0.03688588308457712,100
qwen25_3b,be_present,extra_long,between_subject_distractor,25,1.1397310323383085,-0.013526119402985074,100
qwen25_3b,be_present,extra_long,between_subject_distractor,26,0.6717195273631841,-0.018345771144278607,100
qwen25_3b,be_present,extra_long,between_subject_distractor,27,0.6379430970149254,-0.022582400497512436,100
qwen25_3b,be_present,extra_long,between_subject_distractor,28,0.5438044154228856,-0.033271144278606966,100
qwen25_3b,be_present,extra_long,between_subject_distractor,29,0.18676150497512436,0.021377487562189056,100
qwen25_3b,be_present,extra_long,between_subject_distractor,30,0.042405161691542285,0.0005052860696517413,100
qwen25_3b,be_present,extra_long,between_subject_distractor,31,0.021610696517412934,0.003031716417910448,100
qwen25_3b,be_present,extra_long,between_subject_distractor,32,-0.02308768656716418,0.0001166044776119403,100
qwen25_3b,be_present,extra_long,between_subject_distractor,33,-0.01966728855721393,-0.0009717039800995025,100
qwen25_3b,be_present,extra_long,between_subject_distractor,34,-0.021338619402985076,0.0054026741293532335,100
qwen25_3b,be_present,extra_long,between_subject_distractor,35,0.0,0.0,100
qwen25_3b,be_present,extra_long,distractor,1,0.3659375,0.071328125,100
qwen25_3b,be_present,extra_long,distractor,2,0.42640625,0.003828125,100
qwen25_3b,be_present,extra_long,distractor,3,0.192109375,0.001171875,100
qwen25_3b,be_present,extra_long,distractor,4,0.04421875,-0.11640625,100
qwen25_3b,be_present,extra_long,distractor,5,-0.140703125,0.133359375,100
qwen25_3b,be_present,extra_long,distractor,6,-0.26453125,0.0425,100
qwen25_3b,be_present,extra_long,distractor,7,-0.040078125,-0.024296875,100
qwen25_3b,be_present,extra_long,distractor,8,0.258203125,0.0265625,100
