model_tag,aux_pair,distance_bucket,role,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items,n_item_layer_rows
phi2,be_present,extra_long,between_subject_distractor,1+,0.9663229621353969,0.9330610272371643,0.9989475703470169,0.013019433329182284,0.011640246268241635,0.0143637258929591,0.9533035288062146,22,100,3100
phi2,be_present,extra_long,distractor,1+,0.28438464318552326,0.27220714857501366,0.29710667984716355,0.0032502801956668975,0.0009929503856166714,0.005453036885107715,0.28113436298985633,22,100,3100
phi2,be_present,extra_long,filler_after_distractor,1+,0.30396274845232674,0.2955943896095386,0.3126011722835589,0.0022032384291344647,0.0018669866784926385,0.0025300927200625017,0.3017595100231923,22,100,3100
phi2,be_present,extra_long,final,1+,2.677843262764715,2.637605658477352,2.718520386057515,-0.062125706518850014,-0.06507146991452863,-0.0592319863611652,2.615717556245865,30,100,3100
phi2,be_present,extra_long,prefix_before_subject,1+,-0.14816264244817917,-0.1526860427702627,-0.14358003506352823,-0.0008221180208267704,-0.0016027347272442231,0.00011229442011925478,-0.14898476046900594,22,100,3100
phi2,be_present,extra_long,subject,1+,1.8083133666746076,1.7276061805525134,1.8902059589201403,0.010049807025540258,0.00901254758527202,0.01116518129840974,1.7982635596490675,1,100,3100
phi2,be_present,long,between_subject_distractor,1+,1.4646644779943647,1.4038008920774665,1.5222938586999015,0.018166894297445974,0.0158398143758056,0.020709893626551477,1.4464975836969187,4,100,3100
phi2,be_present,long,distractor,1+,0.445252836904218,0.4249718731987861,0.46338486820651636,0.0020479915988060745,-0.0019468570063191075,0.005757055544084117,0.44320484530541193,22,100,3100
phi2,be_present,long,filler_after_distractor,1+,0.5985903392641349,0.5830703534345045,0.612791556185719,0.006570646908120869,0.005965773940513637,0.007214113500383163,0.592019692356014,22,100,3100
phi2,be_present,long,final,1+,4.085592246824696,3.9877363731399664,4.164681454958454,-0.01311369372952369,-0.018230746722990465,-0.008561884433992447,4.072478553095173,30,100,3100
phi2,be_present,long,prefix_before_subject,1+,0.07636569176950762,0.06513009116726538,0.08722602358941109,0.004974373232933783,0.0038463303888997724,0.0060174222223220355,0.07139131853657384,22,100,3100
phi2,be_present,long,subject,1+,2.2641279491301507,2.19111324937882,2.3387342111602902,0.007933891973187846,0.006713063340033254,0.009277883944972868,2.256194057156963,1,100,3100
phi2,be_present,medium,between_subject_distractor,1+,1.754785907960707,1.6936923430619704,1.8226149641736862,0.02889597354396697,0.02577163632069865,0.03208496218855663,1.7258899344167402,4,100,3100
phi2,be_present,medium,distractor,1+,0.4820897200799758,0.4607356890555352,0.5030918110878236,0.0030288859336606916,-0.001567116452801612,0.007750300676591932,0.4790608341463151,22,100,3100
phi2,be_present,medium,filler_after_distractor,1+,0.7702185079102876,0.7451496863339537,0.7954911904488841,0.007803466140582995,0.006717012623304962,0.00893984967149714,0.7624150417697045,22,100,3100
phi2,be_present,medium,final,1+,5.3786059161155455,5.210127124386449,5.543848589904847,0.015989302050682802,0.0066983931987516345,0.02578720612679758,5.362616614064863,25,100,3100
phi2,be_present,medium,prefix_before_subject,1+,0.22482254243666128,0.20891127787866898,0.2407756463942989,0.008468364284884544,0.00731270710883602,0.009607880530818815,0.21635417815177674,22,100,3100
phi2,be_present,medium,subject,1+,2.414766192897673,2.32560754083818,2.510254260963009,0.005729242447883852,0.004301742261455906,0.007345716114967099,2.4090369504497895,1,100,3100
