model_tag,aux_pair,distance_bucket,role,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items,n_item_layer_rows
qwen25_3b,be_present,extra_long,between_subject_distractor,1+,1.267089657738095,1.2068099702380952,1.3289245814732145,-0.00044828869047619036,-0.00408515625,0.002911207217261904,1.2666413690476188,6,100,3500
qwen25_3b,be_present,extra_long,distractor,1+,0.0966674107142857,0.08616456473214286,0.10753861607142856,0.012258928571428572,0.007148325892857144,0.017376897321428567,0.08440848214285712,2,100,3500
qwen25_3b,be_present,extra_long,filler_after_distractor,1+,0.23191951884920634,0.22122952938988097,0.2422357452876984,0.00876500496031746,0.0070592447916666655,0.010519422743055553,0.22315451388888888,29,100,3500
qwen25_3b,be_present,extra_long,final,1+,1.649917410714286,1.6157178571428572,1.6810902901785718,0.054113839285714276,0.04121350446428571,0.06733755580357143,1.5958035714285717,34,100,3500
qwen25_3b,be_present,extra_long,prefix_before_subject,1+,-0.05708035714285713,-0.06037952008928572,-0.05390998883928572,-0.0013058035714285717,-0.0023305245535714283,-0.00022081473214285728,-0.0583861607142857,35,100,3500
qwen25_3b,be_present,extra_long,subject,1+,3.1323772321428573,2.998975390625,3.270169977678571,-0.007825892857142856,-0.01150239955357143,-0.003887946428571429,3.1245513392857145,1,100,3500
qwen25_3b,be_present,long,between_subject_distractor,1+,1.4598459821428573,1.3887887183779761,1.538431008184524,-0.0002135416666666666,-0.00471314174107143,0.0039406622023809516,1.4596324404761907,6,100,3500
qwen25_3b,be_present,long,distractor,1+,0.11301562500000001,0.09917589285714284,0.12767527901785714,0.015064732142857142,0.00926450892857143,0.021562890624999997,0.09795089285714287,29,100,3500
qwen25_3b,be_present,long,filler_after_distractor,1+,0.43480307539682544,0.41163293030753967,0.45765910218253963,0.013677827380952383,0.01099437003968254,0.01606121651785715,0.4211252480158731,29,100,3500
qwen25_3b,be_present,long,final,1+,2.1681473214285716,2.1147359375000003,2.219314174107143,0.09610825892857143,0.08208934151785714,0.10874687499999999,2.0720390625,34,100,3500
qwen25_3b,be_present,long,prefix_before_subject,1+,-0.0709375,-0.07629916294642856,-0.06556026785714286,-0.0006160714285714284,-0.00183984375,0.0006320870535714284,-0.07155357142857142,35,100,3500
qwen25_3b,be_present,long,subject,1+,3.860104910714286,3.709859821428571,4.019800613839286,-0.011852678571428571,-0.016573325892857142,-0.006761830357142857,3.8482522321428574,1,100,3500
qwen25_3b,be_present,medium,between_subject_distractor,1+,1.5956845238095239,1.517590187872024,1.672518796502976,0.0013020833333333326,-0.004771400669642857,0.007457905505952383,1.5943824404761906,6,100,3500
qwen25_3b,be_present,medium,distractor,1+,0.20249553571428572,0.18042885044642853,0.2238220982142857,0.03702901785714286,0.026818749999999995,0.04721143973214287,0.16546651785714286,29,100,3500
qwen25_3b,be_present,medium,filler_after_distractor,1+,0.7802403273809523,0.7266244605654762,0.837058947172619,0.025718749999999995,0.021433630952380957,0.02970130208333333,0.7545215773809523,25,100,3500
qwen25_3b,be_present,medium,final,1+,2.693897321428572,2.5802758370535717,2.8010358258928565,0.08371205357142855,0.07087232142857143,0.09582421875000001,2.6101852678571436,34,100,3500
qwen25_3b,be_present,medium,prefix_before_subject,1+,0.002337053571428571,-0.0023426897321428566,0.006821093749999998,-0.0004040178571428572,-0.0017033482142857148,0.000921875,0.001933035714285714,33,100,3500
qwen25_3b,be_present,medium,subject,1+,3.992198660714286,3.810683816964285,4.1679919084821435,-0.012116071428571431,-0.01722723214285714,-0.007004241071428572,3.980082589285715,1,100,3500
