model_name,aux_pair,role,mean_medium,mean_long,mean_extra_long,n_medium,n_long,n_extra_long,drop_medium_to_extra_long,pct_drop_medium_to_extra_long,slope_over_distance,monotonic_medium_long_extra,attenuates_medium_to_extra
llama32_3b,be_present,prefix_before_subject,0.13694444444444445,0.12228587962962964,0.09453414351851851,100,100,100,0.042410300925925945,30.968982420554443,-0.021205150462962997,True,True
llama32_3b,be_present,subject,1.8749189814814815,2.0422743055555554,1.5998234953703703,100,100,100,0.27509548611111123,14.672393251560258,-0.13754774305555598,False,True
llama32_3b,be_present,between_subject_distractor,0.6914525462962964,0.7802454668209876,0.6177869405864197,100,100,100,0.07366560570987668,10.65374711604721,-0.03683280285493847,False,True
llama32_3b,be_present,distractor,0.2553993055555555,0.20925636574074072,0.14063368055555556,100,100,100,0.11476562499999995,44.93576235470055,-0.057382812500000026,True,True
llama32_3b,be_present,filler_after_distractor,0.5454494598765433,0.4786046810699588,0.3175205761316872,100,100,100,0.22792888374485604,41.787351626756646,-0.11396444187242807,True,True
llama32_3b,be_present,final,3.1810040509259263,3.2925,2.3280208333333334,100,100,100,0.8529832175925929,26.81490510344703,-0.42649160879629716,False,True
phi2,be_present,prefix_before_subject,0.22482254243666128,0.07636569176950761,-0.14816264244817914,100,100,100,0.37298518488484045,165.90204026801302,-0.18649259244242028,True,True
phi2,be_present,subject,2.4147661928976736,2.2641279491301507,1.8083133666746078,100,100,100,0.6064528262230657,25.114349704197814,-0.3032264131115336,True,True
phi2,be_present,between_subject_distractor,1.754785907960707,1.4646644779943652,0.966322962135397,100,100,100,0.7884629458253101,44.9321448416239,-0.3942314729126554,True,True
phi2,be_present,distractor,0.48208972007997575,0.4452528369042181,0.28438464318552326,100,100,100,0.1977050768944525,41.010017152337205,-0.09885253844722634,True,True
phi2,be_present,filler_after_distractor,0.7702185079102876,0.5985903392641347,0.30396274845232674,100,100,100,0.46625575945796083,60.53551747581074,-0.23312787972898052,True,True
phi2,be_present,final,5.3786059161155455,4.085592246824695,2.677843262764715,100,100,100,2.7007626533508304,50.21306069773065,-1.3503813266754165,True,True
qwen25_3b,be_present,prefix_before_subject,0.0023370535714285715,-0.0709375,-0.05708035714285714,100,100,100,0.05941741071428571,2542.4068767908307,-0.02970870535714286,False,True
qwen25_3b,be_present,subject,3.9921986607142856,3.860104910714286,3.1323772321428573,100,100,100,0.8598214285714283,21.537541130720903,-0.429910714285715,True,True
qwen25_3b,be_present,between_subject_distractor,1.5956845238095239,1.459845982142857,1.2670896577380952,100,100,100,0.3285948660714286,20.592721253380585,-0.16429743303571462,True,True
qwen25_3b,be_present,distractor,0.20249553571428572,0.113015625,0.09666741071428571,100,100,100,0.10582812500000001,52.26195462862938,-0.0529140625,True,True
qwen25_3b,be_present,filler_after_distractor,0.7802403273809524,0.43480307539682544,0.23191951884920634,100,100,100,0.548320808531746,70.27588670945848,-0.2741604042658732,True,True
qwen25_3b,be_present,final,2.6938973214285715,2.1681473214285716,1.6499174107142858,100,100,100,1.0439799107142858,38.753515303273105,-0.5219899553571429,True,True
