model_tag,aux_pair,distance_bucket,condition,n,tokenization_ok_rate,margin_accuracy,strong_margin_rate,greedy_correct_accuracy,greedy_aux_rate,mean_margin,median_margin,mean_correct_prob,mean_wrong_prob,mean_rank_correct
llama32_3b,be_past,extra_long,PP,400,1.0,1.0,0.9275,0.0,0.44,1.85029296875,1.87109375,0.010331897487340029,0.0016152541896735783,19.7225
llama32_3b,be_past,extra_long,PS,400,1.0,0.975,0.605,0.0,0.305,1.14517578125,1.1484375,0.008681896638299803,0.002784777447959641,23.6725
llama32_3b,be_past,extra_long,SP,400,1.0,1.0,0.9975,0.0,0.63,2.7076171875,2.75,0.01117035656265216,0.0007867443984650891,18.1425
llama32_3b,be_past,extra_long,SS,400,1.0,1.0,1.0,0.0,0.625,3.41810546875,3.4453125,0.01159111313696485,0.00037084763313032453,17.755
llama32_3b,be_past,long,PP,400,1.0,1.0,0.9775,0.0025,0.3025,2.46103515625,2.49609375,0.03133661947445944,0.0028294669461320153,5.3
llama32_3b,be_past,long,PS,400,1.0,1.0,0.8075,0.01,0.1575,1.72576171875,1.7109375,0.029233838604995982,0.005730602751282276,5.7725
llama32_3b,be_past,long,SP,400,1.0,1.0,1.0,0.02,0.465,3.34380859375,3.375,0.03698475328739732,0.0014838918566238135,4.6175
llama32_3b,be_past,long,SS,400,1.0,1.0,1.0,0.035,0.3675,4.42763671875,4.4765625,0.039151884457096456,0.000458868079331296,4.5125
llama32_3b,be_past,medium,PP,400,1.0,1.0,0.86,0.01,0.9025,2.2573828125,2.20703125,0.05808470449061133,0.006766165672452189,3.9175
llama32_3b,be_past,medium,PS,400,1.0,0.92,0.535,0.0275,0.825,1.3478515625,1.11328125,0.053243727071676406,0.015034300937040826,4.805
llama32_3b,be_past,medium,SP,400,1.0,1.0,0.9975,0.0275,0.9925,2.72607421875,2.73046875,0.06657134419423529,0.004566513727550046,3.4225
llama32_3b,be_past,medium,SS,400,1.0,1.0,1.0,0.0475,0.985,4.05939453125,3.98046875,0.0674483582773246,0.0011612153381565804,3.31
llama32_3b,be_past,short,PP,400,1.0,1.0,0.9975,0.0,0.02,3.3757421875,3.359375,0.011581379911476689,0.00039216757913209223,17.0725
llama32_3b,be_past,short,PS,400,1.0,0.95,0.85,0.0,0.0375,2.123759765625,2.21484375,0.007044548821106673,0.000554453228792795,132.25
llama32_3b,be_past,short,SP,400,1.0,0.99,0.935,0.0,0.015,1.94369140625,1.984375,0.010360316529777265,0.0014610972663103893,20.32
llama32_3b,be_past,short,SS,400,1.0,1.0,1.0,0.0,0.0825,4.3021875,4.3671875,0.012158317323082883,0.00014756090772834795,35.8625
llama32_3b,be_present,extra_long,PP,400,1.0,1.0,0.975,0.44,0.44,2.24818359375,2.24609375,0.05793829263187945,0.0063080782571341846,2.1
llama32_3b,be_present,extra_long,PS,400,1.0,0.995,0.7075,0.305,0.305,1.44626953125,1.421875,0.04642275766935199,0.011322970709297806,3.0725
llama32_3b,be_present,extra_long,SP,400,1.0,1.0,0.995,0.63,0.63,2.83185546875,2.8515625,0.05724471391178668,0.0038458462586277165,1.7625
llama32_3b,be_present,extra_long,SS,400,1.0,1.0,1.0,0.625,0.625,3.6683203125,3.70703125,0.05461436983197927,0.0014791209519898984,1.835
llama32_3b,be_present,long,PP,400,1.0,1.0,0.9975,0.3,0.3025,2.69291015625,2.71484375,0.07634685398079455,0.005811662042979151,2.065
llama32_3b,be_present,long,PS,400,1.0,1.0,0.8675,0.1475,0.1575,1.9226171875,1.87109375,0.06194453542120755,0.010229555655678268,2.5675
llama32_3b,be_present,long,SP,400,1.0,1.0,1.0,0.445,0.465,3.51783203125,3.5546875,0.07814410729333758,0.0030494872268900506,1.73
llama32_3b,be_present,long,SS,400,1.0,1.0,1.0,0.3325,0.3675,4.6895703125,4.75,0.07282293531578034,0.0007417172890563961,1.9275
llama32_3b,be_present,medium,PP,400,1.0,1.0,0.9325,0.8925,0.9025,2.470390625,2.33984375,0.16286975043825805,0.019175917587126605,1.14
llama32_3b,be_present,medium,PS,400,1.0,0.955,0.6375,0.78,0.825,1.54859375,1.37109375,0.1286703235236928,0.03611300249205669,1.325
llama32_3b,be_present,medium,SP,400,1.0,1.0,0.99,0.965,0.9925,2.80626953125,2.7734375,0.20230704145506023,0.01516681294713635,1.0375
llama32_3b,be_present,medium,SS,400,1.0,1.0,1.0,0.9375,0.985,4.26791015625,4.2265625,0.2077426513284445,0.003722977530251228,1.07
llama32_3b,be_present,short,PP,400,1.0,1.0,0.9975,0.02,0.02,3.5837109375,3.58984375,0.04182056221849052,0.0013700741570846732,5.9475
llama32_3b,be_present,short,PS,400,1.0,0.95,0.865,0.0375,0.0375,2.301630859375,2.5078125,0.020211478486708075,0.001414427604518096,47.545
llama32_3b,be_present,short,SP,400,1.0,0.9925,0.93,0.015,0.015,2.01849609375,2.05859375,0.0308475514991369,0.0042007004174229225,9.1525
llama32_3b,be_present,short,SS,400,1.0,1.0,1.0,0.0825,0.0825,4.465791015625,4.53515625,0.03538944610514591,0.0003856139724274499,15.59
