model_tag,aux_pair,distance_bucket,condition,n,tokenization_ok_rate,margin_accuracy,strong_margin_rate,greedy_correct_accuracy,greedy_aux_rate,mean_margin,median_margin,mean_correct_prob,mean_wrong_prob,mean_rank_correct
phi2,be_past,extra_long,PP,400,1.0,1.0,1.0,0.0,0.995,3.6441224098205565,3.681304454803467,0.034506340516963975,0.0009034853139019105,5.405
phi2,be_past,extra_long,PS,400,1.0,1.0,1.0,0.0,0.9925,2.998270790576935,3.0712594985961914,0.034574649282731115,0.001723548709123861,5.46
phi2,be_past,extra_long,SP,400,1.0,1.0,1.0,0.0,0.99,2.3222673892974854,2.314222812652588,0.03117877335404046,0.003072863905254053,5.4225
phi2,be_past,extra_long,SS,400,1.0,1.0,1.0,0.0,0.9975,3.1369220495223997,3.1346755027770996,0.033821399016305806,0.0014468277760897764,5.075
phi2,be_past,long,PP,400,1.0,1.0,1.0,0.2925,0.94,4.110768995285034,4.149514198303223,0.09692569545470178,0.0016131126256368588,2.02
phi2,be_past,long,PS,400,1.0,1.0,1.0,0.4925,0.9075,3.316124351024628,3.2922277450561523,0.09733465620316566,0.003625960556091741,1.8125
phi2,be_past,long,SP,400,1.0,1.0,1.0,0.43,0.9775,4.121138005256653,4.25944185256958,0.10973900179378689,0.002222426381194964,1.64
phi2,be_past,long,SS,400,1.0,1.0,1.0,0.565,0.985,5.20326327085495,5.247467517852783,0.11668963771313429,0.0006658824092301074,1.51
phi2,be_past,medium,PP,400,1.0,1.0,1.0,0.2125,0.99,4.8980951762199405,4.99747371673584,0.1162472234107554,0.0009279498995601898,2.1775
phi2,be_past,medium,PS,400,1.0,1.0,1.0,0.475,0.9525,4.0353057050704955,4.106022357940674,0.13200738952495158,0.0026114567715558226,1.7975
phi2,be_past,medium,SP,400,1.0,1.0,1.0,0.385,1.0,4.43829959154129,4.595027923583984,0.14764336951076984,0.0022861886907048754,1.71
phi2,be_past,medium,SS,400,1.0,1.0,1.0,0.535,0.9975,5.98567153930664,6.024923324584961,0.1678722113277763,0.0004275792929365707,1.5575
phi2,be_past,short,PP,400,1.0,1.0,1.0,0.115,0.2225,4.79916468501091,4.808071613311768,0.05620715239027049,0.00045808837636741374,5.105
phi2,be_past,short,PS,400,1.0,0.995,0.96,0.04,0.0825,3.476482081413269,3.789036273956299,0.029362434660233704,0.0005644714749348623,32.805
phi2,be_past,short,SP,400,1.0,0.9925,0.95,0.12,0.16,2.2581815791130064,2.161956310272217,0.06116690220387681,0.006127181719566579,6.2775
phi2,be_past,short,SS,400,1.0,1.0,1.0,0.115,0.1725,5.073057677745819,5.126369953155518,0.05392289683302806,0.00025205968906448105,10.0675
phi2,be_present,extra_long,PP,400,1.0,1.0,1.0,0.995,0.995,3.9754141855239866,4.01277494430542,0.1840424867346883,0.003862004405382322,1.005
phi2,be_present,extra_long,PS,400,1.0,1.0,1.0,0.9925,0.9925,3.2826593017578123,3.359236717224121,0.16410605357028543,0.006796972459414974,1.0075
phi2,be_present,extra_long,SP,400,1.0,1.0,1.0,0.99,0.99,2.7080562853813173,2.710122585296631,0.1804669854976237,0.0131415336439386,1.01
phi2,be_present,extra_long,SS,400,1.0,1.0,1.0,0.9975,0.9975,3.6683025431632994,3.6973671913146973,0.1861770250275731,0.004971581538557075,1.0025
phi2,be_present,long,PP,400,1.0,1.0,1.0,0.6475,0.94,4.506913812160492,4.556619644165039,0.11769193516112864,0.0015249852407578147,1.42
phi2,be_present,long,PS,400,1.0,1.0,1.0,0.415,0.9075,3.658917052745819,3.6677374839782715,0.09499561580829323,0.0028569129527022596,1.785
phi2,be_present,long,SP,400,1.0,1.0,1.0,0.5475,0.9775,4.446302943229675,4.594231605529785,0.1223992523085326,0.0024295641344542675,1.5075
phi2,be_present,long,SS,400,1.0,1.0,1.0,0.42,0.985,5.60605738401413,5.66887903213501,0.11239430086221545,0.0004763451042799716,1.6525
phi2,be_present,medium,PP,400,1.0,1.0,1.0,0.7775,0.99,5.570423188209534,5.681591510772705,0.16767359861172737,0.0009545533219534264,1.3
phi2,be_present,medium,PS,400,1.0,1.0,1.0,0.4775,0.9525,4.609337697029114,4.669456481933594,0.1351738997362554,0.001990409776044544,1.72
phi2,be_present,medium,SP,400,1.0,1.0,1.0,0.615,1.0,4.583452572822571,4.725550174713135,0.18012001814320683,0.003695978158957587,1.4125
phi2,be_present,medium,SS,400,1.0,1.0,1.0,0.4625,0.9975,6.161346831321716,6.186714172363281,0.16406762508675457,0.0004412035133191239,1.5975
phi2,be_present,short,PP,400,1.0,1.0,1.0,0.1075,0.2225,5.182863932847977,5.208263635635376,0.05311738263335428,0.00033748802343041006,4.74
phi2,be_present,short,PS,400,1.0,0.9875,0.945,0.0425,0.0825,3.5343430888652803,3.894890308380127,0.026340845042032015,0.0005565687858556601,23.7375
phi2,be_present,short,SP,400,1.0,0.9825,0.935,0.04,0.16,2.175658254623413,2.0402941703796387,0.04522837746204459,0.005918939015173237,6.3125
phi2,be_present,short,SS,400,1.0,1.0,1.0,0.0575,0.1725,5.191225882768631,5.254384994506836,0.04674413625794841,0.0002752680878040792,8.61
