model_tag,aux_pair,distance_bucket,condition,n,tokenization_ok_rate,margin_accuracy,strong_margin_rate,greedy_correct_accuracy,greedy_aux_rate,mean_margin,median_margin,mean_correct_prob,mean_wrong_prob,mean_rank_correct
qwen25_3b,be_past,extra_long,PP,400,1.0,1.0,1.0,0.0,0.905,2.87189453125,2.890625,0.033160924473777414,0.0020298618073866237,5.425
qwen25_3b,be_past,extra_long,PS,400,1.0,1.0,0.995,0.0,0.82,2.437109375,2.43359375,0.02780396308749914,0.002601363805733854,6.38
qwen25_3b,be_past,extra_long,SP,400,1.0,1.0,0.9975,0.0025,0.96,3.93056640625,4.0625,0.032701880797976625,0.0008475098868257192,5.625
qwen25_3b,be_past,extra_long,SS,400,1.0,1.0,1.0,0.0,0.9675,4.49123046875,4.5625,0.02778710927814245,0.0003255223881933489,6.54
qwen25_3b,be_past,long,PP,400,1.0,1.0,1.0,0.2525,0.8025,3.641875,3.6484375,0.08263984123244882,0.002512026464974042,2.4125
qwen25_3b,be_past,long,PS,400,1.0,1.0,1.0,0.245,0.7225,3.286953125,3.296875,0.07635067887604237,0.0032856907343375495,2.655
qwen25_3b,be_past,long,SP,400,1.0,1.0,0.995,0.385,0.8175,4.7623828125,4.921875,0.08968174269422889,0.0015221610566550226,2.0825
qwen25_3b,be_past,long,SS,400,1.0,1.0,1.0,0.33,0.74,5.44458984375,5.546875,0.07660056512104348,0.00037759437905151574,2.5425
qwen25_3b,be_past,medium,PP,400,1.0,1.0,1.0,0.11,0.9625,3.59267578125,3.5703125,0.11405271686147898,0.003791926799094654,2.23
qwen25_3b,be_past,medium,PS,400,1.0,1.0,0.9975,0.14,0.93,3.364296875,3.30859375,0.10735996581846848,0.004739581374305999,2.3525
qwen25_3b,be_past,medium,SP,400,1.0,1.0,0.995,0.16,1.0,4.18798828125,4.21484375,0.14448353755986318,0.0039631847499003925,2.0
qwen25_3b,be_past,medium,SS,400,1.0,1.0,1.0,0.11,1.0,5.7861328125,5.88671875,0.13293961047776975,0.0005818650655783131,2.1225
qwen25_3b,be_past,short,PP,400,1.0,1.0,0.9975,0.0,0.0675,4.034384765625,3.98046875,0.01454197777779882,0.000343495641687781,13.5125
qwen25_3b,be_past,short,PS,400,1.0,0.965,0.915,0.0,0.0175,2.91486328125,3.08984375,0.005264553948057724,0.00027893220322098953,170.925
qwen25_3b,be_past,short,SP,400,1.0,0.9975,0.975,0.0,0.065,2.905927734375,2.83984375,0.014349256966174834,0.0010121536400691867,17.8625
qwen25_3b,be_past,short,SS,400,1.0,1.0,1.0,0.0,0.1175,4.8389453125,4.93359375,0.00878399105953349,8.041901098003734e-05,91.72
qwen25_3b,be_present,extra_long,PP,400,1.0,1.0,1.0,0.905,0.905,2.94685546875,2.96875,0.12773080285638572,0.007461281846044585,1.0825
qwen25_3b,be_present,extra_long,PS,400,1.0,1.0,0.99,0.82,0.82,2.5111328125,2.5,0.11185802274383605,0.01012729079957353,1.1975
qwen25_3b,be_present,extra_long,SP,400,1.0,1.0,1.0,0.9575,0.96,4.32603515625,4.45703125,0.15426569557748734,0.003652663789653161,1.04
qwen25_3b,be_present,extra_long,SS,400,1.0,1.0,1.0,0.9675,0.9675,5.0640234375,5.1875,0.15430831600911915,0.001168804755943711,1.0375
qwen25_3b,be_present,long,PP,400,1.0,1.0,1.0,0.55,0.8025,4.0130078125,4.0546875,0.09445700253825634,0.002229752377679688,1.65
qwen25_3b,be_present,long,PS,400,1.0,1.0,1.0,0.4775,0.7225,3.70373046875,3.73828125,0.0883638383867219,0.002946814362949226,1.9225
qwen25_3b,be_present,long,SP,400,1.0,1.0,0.99,0.4325,0.8175,4.6634375,4.8515625,0.09624747422989458,0.0024437855904488968,1.985
qwen25_3b,be_present,long,SS,400,1.0,1.0,1.0,0.41,0.74,5.34998046875,5.46875,0.08970556799788028,0.0006224195898721518,2.125
qwen25_3b,be_present,medium,PP,400,1.0,1.0,1.0,0.855,0.9625,4.11427734375,4.1015625,0.18257274044677615,0.004305690645614959,1.2125
qwen25_3b,be_present,medium,PS,400,1.0,1.0,0.9975,0.79,0.93,3.91931640625,3.8515625,0.16777042862959207,0.005402486960101669,1.2975
qwen25_3b,be_present,medium,SP,400,1.0,1.0,0.995,0.84,1.0,4.40810546875,4.5,0.2422689196653664,0.007925175256605143,1.165
qwen25_3b,be_present,medium,SS,400,1.0,1.0,1.0,0.89,1.0,6.2423046875,6.34375,0.26306978080421684,0.001189870253083427,1.11
qwen25_3b,be_present,short,PP,400,1.0,1.0,0.995,0.0675,0.0675,4.64986328125,4.6015625,0.047375590006340645,0.0006537585578846005,5.025
qwen25_3b,be_present,short,PS,400,1.0,0.955,0.91,0.0175,0.0175,3.131982421875,3.390625,0.018708918681072505,0.0006466637601048575,81.515
qwen25_3b,be_present,short,SP,400,1.0,0.9975,0.975,0.0625,0.0625,3.1025390625,3.0,0.045274045203041166,0.0032988636899290214,5.095
qwen25_3b,be_present,short,SS,400,1.0,1.0,0.9975,0.1175,0.1175,5.8065625,5.94921875,0.04431805982552305,0.00019706750791527837,25.78
