model_tag,distance_bucket,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
phi2,extra_long,distractor,1+,0.2443644062165291,0.23298518844573723,0.2548278145713191,0.00016640355510096397,-0.0017178884860007998,0.0019755691328356335,0.24419800266142813,22,100
phi2,extra_long,final,1+,2.5507918843915385,2.5194498113355333,2.5832740662790115,-0.042297356820875605,-0.04541387296492053,-0.039205351568037464,2.508494527570663,30,100
phi2,extra_long,subject,1+,1.508481060458768,1.4446592093744586,1.5708123864896832,0.006286513728480186,0.005277034905649,0.0073081785171262665,1.5021945467302877,1,100
phi2,long,distractor,1+,0.38064719661589597,0.3639028459595096,0.39723348801366754,0.003914064591930758,0.0006838181787921537,0.006900691193919027,0.3767331320239652,22,100
phi2,long,final,1+,3.8656609218351305,3.7689349579349645,3.9460579534884417,0.0029859976614675203,-0.0030622916836892406,0.008491693519776869,3.862674924173663,30,100
phi2,long,subject,1+,1.9052111013473998,1.8402164224040125,1.9688573723839176,0.004854825542819115,0.0038302214607115717,0.0059945053285168064,1.9003562758045807,1,100
phi2,medium,distractor,1+,0.44006816771722607,0.4191087765462937,0.46056249248596925,0.008566470299997637,0.004911205122547765,0.01242850132142344,0.43150169741722844,22,100
phi2,medium,final,1+,5.093290971632927,4.934691883640904,5.2470702625013175,0.024075067889305853,0.015536336575784992,0.03246752927380223,5.069215903743621,25,100
phi2,medium,subject,1+,2.1559554684546685,2.074392140434634,2.2355277090072634,0.003018654238793157,0.0018576341982810727,0.004286236524581909,2.152936814215875,1,100
phi2,short,distractor,1+,3.1937356328964235,3.108932286550922,3.280442305545653,-0.03282112029290969,-0.0414557654011634,-0.02356946050736213,3.160914512603514,30,100
phi2,short,final,1+,3.1937356328964235,3.108932286550922,3.280442305545653,-0.03282112029290969,-0.0414557654011634,-0.02356946050736213,3.160914512603514,30,100
phi2,short,subject,1+,2.843518010723975,2.6808085143796854,3.0018903071572702,0.0025884745197911423,0.000923117906816544,0.00431357059171123,2.8409295362041838,1,100
