model_tag,distance_bucket,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
qwen25_3b,extra_long,distractor,1+,0.07831026785714286,0.06807075892857144,0.08805468749999996,0.008654017857142858,0.003927566964285715,0.013741127232142858,0.06965625,2,100
qwen25_3b,extra_long,final,1+,1.5332008928571426,1.5053895089285714,1.5595640624999998,0.054551339285714276,0.04436099330357142,0.06453024553571428,1.4786495535714284,34,100
qwen25_3b,extra_long,subject,1+,2.82465625,2.695963002232143,2.9744238839285715,-0.011609375,-0.014867633928571426,-0.008179296875000002,2.813046875,1,100
qwen25_3b,long,distractor,1+,0.09679687499999998,0.0827277901785714,0.11093152901785713,0.00963169642857143,0.0030310825892857136,0.015977790178571427,0.08716517857142855,29,100
qwen25_3b,long,final,1+,2.0760915178571424,2.0235357700892855,2.123030412946428,0.11213392857142859,0.09776897321428571,0.12437550223214287,1.9639575892857137,32,100
qwen25_3b,long,subject,1+,3.7159709821428577,3.5664414062499996,3.8571053013392858,-0.010607142857142857,-0.015184040178571428,-0.006280468750000001,3.705363839285715,1,100
qwen25_3b,medium,distractor,1+,0.17585491071428572,0.15591316964285717,0.19652488839285712,0.03416294642857143,0.024781473214285716,0.042860100446428566,0.1416919642857143,29,100
qwen25_3b,medium,final,1+,2.4974620535714287,2.377505915178571,2.6056668526785716,0.09204017857142859,0.08135714285714286,0.10185323660714285,2.405421875,31,100
qwen25_3b,medium,subject,1+,3.6601004464285705,3.5220590959821423,3.796189620535713,-0.007223214285714284,-0.01290111607142857,-0.0017053571428571445,3.652877232142856,1,100
qwen25_3b,short,distractor,1+,1.68987109375,1.6217002929687498,1.7642049525669645,0.030684151785714292,0.011954966517857142,0.05138317522321428,1.6591869419642857,34,100
qwen25_3b,short,final,1+,1.68987109375,1.6217002929687498,1.7642049525669645,0.030684151785714292,0.011954966517857142,0.05138317522321428,1.6591869419642857,34,100
qwen25_3b,short,subject,1+,4.488589285714286,4.197067299107143,4.811239397321429,0.0006517857142857138,-0.005317745535714285,0.007107589285714285,4.4879375,1,100
