model_tag,exp_name,exp_group,layer,is_layer_0,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,n_items
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,0,True,1.5629819894448305,1.5191196660506419,1.6081884664755601,0.5175874147659693,0.4812815835129501,0.5554887563958127,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,1,False,1.4852844409453563,1.4415542812836477,1.5304411081778697,0.4136059834406926,0.3832892984814114,0.4473115384069264,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,2,False,1.3290551650218474,1.2861776426510934,1.3726633422191326,0.3672760898231441,0.34134097388666923,0.39527967988935286,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,3,False,1.2680421609144945,1.225449976432018,1.3117617915838193,0.7396261679820525,0.6973480476477207,0.7822948433395126,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,4,False,1.153648486504188,1.1119161688975798,1.1949812816962218,0.33412542750692775,0.30790440284288845,0.36134266767746365,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,5,False,0.9065457686399803,0.8653086636616634,0.9459139523139366,0.33735229785625753,0.3114879906483185,0.3637767862050962,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,6,False,0.8710714707007775,0.8313103143374125,0.9092339891653795,0.4163833699674687,0.38862211272247843,0.44676724857754185,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,7,False,0.7146142323811849,0.6775979831891182,0.7507808344180767,0.3633784693530482,0.33808285731535687,0.3904425020910736,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,8,False,0.6896883866725824,0.6533291025039477,0.7244545019589937,1.5673391228048208,1.5348910348639528,1.6049467996654345,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,9,False,0.6401659745436449,0.6041390459354108,0.6740536561379066,0.2425356897533449,0.22272494204023965,0.2645452561337724,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,10,False,0.578678637284499,0.5445871881338266,0.6103874271955245,0.4109742629222381,0.3851380689123757,0.4385993817321256,390
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,11,False,0.36569719314575194,0.34059603373209635,0.3901484842789479,0.3702409980643509,0.34762518683050436,0.39458693962830754,390
