model_tag,exp_name,exp_group,layers_included,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,real_minus_noise,peak_layer,peak_effect,n_items
qwen25_3b,crossed_dist_SP_to_PS,crossed_distractor_patch,1+,0.40325721153846156,0.3713226161858974,0.43262933550824173,0.6591057119963369,0.6381146334134616,0.6819434929220085,-0.2558485004578754,1,1.5416466346153845,390
qwen25_3b,crossed_dist_SS_to_PP,crossed_distractor_patch,1+,0.5910840201465202,0.566239010989011,0.6146049107142857,0.9418680364774116,0.917935291704823,0.9667764590010685,-0.3507840163308914,1,1.5783453525641025,390
qwen25_3b,dist_pl_to_sg,distractor_patch,1+,0.6008791208791209,0.5679975389194138,0.6316678828983516,0.6591057119963369,0.6381146334134616,0.6819434929220085,-0.058226591117216064,1,1.5532652243589744,390
qwen25_3b,dist_sg_to_pl,distractor_patch,1+,1.4320140796703296,1.3820564617673992,1.4803438930860804,1.0497611416361416,1.017787808112027,1.0797615828182234,0.3822529380341879,1,3.6821514423076924,390
qwen25_3b,same_num_SP_to_PS_dist,same_number_control,1+,0.40325721153846156,0.3713226161858974,0.43262933550824173,0.6591057119963369,0.6381146334134616,0.6819434929220085,-0.2558485004578754,1,1.5416466346153845,390
qwen25_3b,same_num_SS_to_PP_subj,same_number_control,1+,4.015447000915751,3.9027116529304022,4.121675523695054,1.9696481990231989,1.9168089311946734,2.021840587797619,2.045798801892552,1,6.865825320512821,390
qwen25_3b,self_patch_SP,self_patch,1+,0.0,0.0,0.0,1.0497611416361416,1.017787808112027,1.0797615828182234,-1.0497611416361416,1,0.0,390
qwen25_3b,self_patch_SS,self_patch,1+,0.0,0.0,0.0,1.6261310000763125,1.5805329574938949,1.670387747777396,-1.6261310000763125,1,0.0,390
qwen25_3b,subj_pl_to_sg,subject_patch,1+,6.621529304029305,6.503622682005494,6.738635058951466,1.6261310000763125,1.5805329574938949,1.670387747777396,4.995398303952992,1,9.72666266025641,390
qwen25_3b,subj_sg_to_pl,subject_patch,1+,4.334407051282051,4.218481470352565,4.443267427884615,2.01410885989011,1.9560357512496185,2.0739995146997097,2.320298191391941,1,8.29208733974359,390
