model_tag,exp_name,exp_group,layer,is_layer_0,signed_effect_mean,signed_effect_ci_lo,signed_effect_ci_hi,noise_effect_abs_mean,noise_effect_abs_ci_lo,noise_effect_abs_ci_hi,n_items
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,0,True,1.4241355852204927,1.3818247469104068,1.465776674966423,0.48624481392555496,0.4500143661993702,0.5219443096798293,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,1,False,1.3554715453361978,1.3121033012258765,1.3984303619788616,0.40927470298040475,0.3789708616579471,0.4431361279925521,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,2,False,1.225331992519145,1.1828633223869363,1.2672745805613848,0.3259475466345443,0.30142468686411983,0.35304476440358323,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,3,False,1.1740810481869444,1.1314047017267774,1.2154128957159664,0.6062902187814518,0.566995617220191,0.6451174776164852,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,4,False,1.070589938942267,1.02978744111499,1.1111342262856814,0.3754240087911386,0.3487355429907234,0.4038898485655687,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,5,False,0.8368109318674827,0.7976320129268023,0.8739051956303264,0.2896517012395015,0.26565577116142325,0.31469589033905343,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,6,False,0.7965969236529603,0.759270113889052,0.8336063239039206,0.301943926584153,0.27910787063796505,0.3256816781094285,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,7,False,0.6596281893399297,0.6247406090400657,0.6941244846704054,0.28804553447126535,0.26663718971670886,0.31148702506305403,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,8,False,0.6428240732270845,0.6092559597321919,0.6756897054156478,1.2545349289770842,1.2229109170688255,1.287923389794875,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,9,False,0.5966657594758638,0.5641301839327325,0.628990029984591,0.23603220942880018,0.21652604122551122,0.2577784454335972,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,10,False,0.5488466097384083,0.5173161839952275,0.5791883924177714,0.28958468372319024,0.26797334839697595,0.3114366612466825,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,11,False,0.3521692314926459,0.3287811179550327,0.3750258411071738,0.30082403397073554,0.2802126584004383,0.3223612936581073,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,12,False,0.3409811963840407,0.3185024629442059,0.3632995157217493,0.5086857153444874,0.4863277871389779,0.5316524516765763,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,13,False,0.2927202740494086,0.27162240439531754,0.3129272039447512,0.4352807244476007,0.41420194186320924,0.45599736088798165,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,14,False,0.23260553758971544,0.21101891142981394,0.2525622477336806,0.16354835519985278,0.15076264372082795,0.17675058184837808,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,15,False,0.12907887234979745,0.11020121027012261,0.14694665366289564,0.3133731050556209,0.29865397020262113,0.32832292563655746,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,16,False,0.0727807380715195,0.05468722539288657,0.09050574436479684,0.7180134982478862,0.7013906620594919,0.7354450255226928,392
phi2,crossed_dist_SP_to_PS,crossed_distractor_patch,17,False,0.036100287826693785,0.019560060148336448,0.05251828833502165,0.5267838693800427,0.5083274787988792,0.5460884626625346,392
