model_tag,direction,position,layer,is_layer_0,alpha,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,n_items
phi2,distractor,distractor,0,True,-1.0,4.140350410265801,4.038273337559822,4.2298963072361095,-0.003530702835474259,-0.004353690636463655,-0.0026826621324588093,-0.018626874124901927,-0.023609991155119022,-0.013953677915100372,390
phi2,distractor,distractor,0,True,1.0,-0.10226474419618264,-0.17951734677339212,-0.033700024959368614,-0.0034653223477877104,-0.00427135088504889,-0.002642477047749055,-0.0024243835710052748,-0.007592653983678574,0.0026165534899784877,390
phi2,distractor,distractor,1,False,-1.0,4.1283605551108336,4.043514627676744,4.206947278120579,0.005410008552746895,0.004354181717603634,0.0064943891916519544,-0.02891903494158362,-0.03535790645159208,-0.0224945565370413,390
phi2,distractor,distractor,1,False,1.0,0.07759943497486603,0.05956731215501443,0.09728048666929587,0.005617471841665415,0.004563576135879908,0.006681038355216001,-0.010587562658847907,-0.01604001006509504,-0.0052167423769959075,390
phi2,distractor,distractor,2,False,-1.0,3.948058299529247,3.865474757108933,4.02486113181481,-0.00464020753518129,-0.0056020360115246895,-0.003713155159583459,0.008876345707820012,0.0025093868451240733,0.014959187731783608,390
phi2,distractor,distractor,2,False,1.0,-0.34003545320951023,-0.3990175072352092,-0.27930096265597226,-0.004651025625375601,-0.005602002204992832,-0.0037293724524669163,0.002220174186250083,-0.003786349724500607,0.008158989808498284,390
phi2,distractor,distractor,3,False,-1.0,3.8476021081973344,3.7669003963470455,3.923713519023015,-0.0021155626345903448,-0.003232574279491718,-0.0010351188977559408,-0.025683182121342064,-0.03272807302637997,-0.018619407996153237,390
phi2,distractor,distractor,3,False,1.0,-0.6499536465375851,-0.7256439467576834,-0.5753516347591694,-0.002135604467147436,-0.0032593427560268303,-0.0010420656815553324,-0.0311115370856391,-0.03893219383353861,-0.023107459361736596,390
phi2,distractor,distractor,4,False,-1.0,3.65843813480475,3.5831675899334443,3.728221979874831,0.005541446881416516,0.004278315152877417,0.0068748272382296045,-0.017860144427698902,-0.025823779737847483,-0.009873692622551554,390
phi2,distractor,distractor,4,False,1.0,0.05108023178883088,0.03254633915730012,0.07108328593082917,0.005970426706167368,0.00471405090429844,0.007276067244700895,-0.007032062660934578,-0.013791433134649554,-0.00017589937927377062,390
