model_tag,direction,position,layer,is_layer_0,alpha,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,n_items
llama32_3b,distractor,distractor,0,True,-1.0,2.5192123724489797,2.448924784757653,2.5894287109375,0.0018933354591836734,0.0009367028061224489,0.002810108418367347,0.007666347789115646,0.0016241164434523806,0.01368532764668367,392
llama32_3b,distractor,distractor,0,True,1.0,-0.054767219387755105,-0.06848094706632653,-0.04067332987882655,0.0010762117346938774,0.0,0.0021125637755102043,-0.006909013605442178,-0.012948753720238097,-0.0005376076211734718,392
llama32_3b,distractor,distractor,1,False,-1.0,2.487743144132653,2.4166125239158163,2.5558264907525508,0.0017139668367346938,0.0005580357142857143,0.0028698979591836736,-0.014256483843537414,-0.020907572013180272,-0.0077653326955782346,392
llama32_3b,distractor,distractor,1,False,1.0,-0.04661591198979592,-0.06275958625637755,-0.030470244738520422,0.0020926339285714285,0.001016422193877551,0.003208705357142857,-0.01842846513605442,-0.024872947225765305,-0.011831021471088441,392
llama32_3b,distractor,distractor,2,False,-1.0,2.4827606823979593,2.411949437978316,2.551331812021684,-0.0045041454081632655,-0.005779655612244898,-0.0032286352040816328,0.02503853103741497,0.01916354432397959,0.030938928305697274,392
llama32_3b,distractor,distractor,2,False,1.0,0.028958067602040817,0.012491031568877552,0.04610172193877549,-0.004464285714285714,-0.005779655612244898,-0.0031887755102040817,-0.021471088435374153,-0.027238287893282313,-0.015751056281887756,392
llama32_3b,distractor,distractor,3,False,-1.0,2.2591079400510203,2.1900500239158163,2.3270702128507654,0.0004982461734693878,-0.0004987444196428571,0.0015545280612244898,-0.011080994897959183,-0.017106451955782313,-0.004709422831632657,392
llama32_3b,distractor,distractor,3,False,1.0,-0.046875,-0.06156329719387755,-0.03132922114158164,0.00013950892857142856,-0.0008774115114795918,0.0012157206632653062,-0.031356292517006806,-0.03704958545918367,-0.02568276333971089,392
llama32_3b,distractor,distractor,4,False,-1.0,2.008250956632653,1.940663364955357,2.0792271205357142,-0.007832429846938776,-0.009088010204081632,-0.006497130102040816,0.006284545068027211,0.0002310201424319723,0.012715906675170065,392
llama32_3b,distractor,distractor,4,False,1.0,-0.05893255739795918,-0.07469706632653061,-0.04206991390306124,-0.007932079081632654,-0.00922751913265306,-0.006636639030612245,-0.00235172193877551,-0.007999010150935373,0.003435241284013602,392
llama32_3b,distractor,distractor,5,False,-1.0,1.9088010204081634,1.8363151705994898,1.9781055683992348,0.001096141581632653,0.0001793686224489796,0.0020134127869897932,-0.015306122448979591,-0.020806926286139456,-0.009937686011904766,392
llama32_3b,distractor,distractor,5,False,1.0,-0.23204320790816327,-0.27125568000637756,-0.1964470065369898,0.0012555803571428572,0.0003786670918367347,0.002192283163265306,0.005799585459183673,0.0011947943239795917,0.010716112616921765,392
llama32_3b,distractor,distractor,6,False,-1.0,1.7532286352040816,1.6874715999681122,1.8210797991071428,-0.0008569834183673469,-0.0018933354591836734,0.00010014748086734422,-0.06576849489795919,-0.07094477439413265,-0.060473798894557826,392
llama32_3b,distractor,distractor,6,False,1.0,-0.01917251275510204,-0.03746861049107143,-0.0006975446428571429,-0.000817123724489796,-0.0018734056122448979,0.00023915816326530612,-0.036916719812925165,-0.04152051445578231,-0.032611706792091834,392
llama32_3b,distractor,distractor,7,False,-1.0,1.1052495216836735,1.0597038424744898,1.1531628667091838,-0.0001992984693877551,-0.001116569674744898,0.0007174744897959184,-0.03500345450680272,-0.0393820418792517,-0.030665391156462586,392
llama32_3b,distractor,distractor,7,False,1.0,-0.014429209183673469,-0.02929737324617347,-0.00015844228316327073,0.00023915816326530612,-0.0005580357142857143,0.0010562818877551021,7.971938775510203e-05,-0.0036479924000850338,0.00393979857568027,392
llama32_3b,distractor,distractor,8,False,-1.0,1.041354432397959,1.0002182318239796,1.0835075534119898,0.0033482142857142855,0.0026307397959183672,0.00408561862244898,0.005407631802721089,0.0017134685905612242,0.009135177508503395,392
