model_tag,direction,position,layer,is_layer_0,alpha,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,n_items
phi2,distractor,distractor,0,True,-1.0,3.8532071600154953,3.7618476983235807,3.93608823461192,0.002834663099172164,0.0021709561956172086,0.0034705704572249433,-0.016860435609103868,-0.02093662445237036,-0.01244531981393594,392
phi2,distractor,distractor,0,True,1.0,-0.08665781361716134,-0.1531525210458405,-0.02262582407922165,0.0029830592019217356,0.0023118286716694732,0.0036263915349026114,-0.001853543884900152,-0.006654985624105752,0.002876727820253696,392
phi2,distractor,distractor,1,False,-1.0,3.831954009678899,3.7496675033350377,3.909542825209851,-0.002954130270043198,-0.0037503112943804997,-0.0021866584310726253,-0.02458474749610538,-0.030187986193060064,-0.018886807256815394,392
phi2,distractor,distractor,1,False,1.0,0.0685558051479106,0.0512620531782812,0.08681758788167214,-0.0027825029528870874,-0.003584275257830717,-0.001998977089414792,-0.009066812846125389,-0.014232230814946754,-0.003957213005241083,392
phi2,distractor,distractor,2,False,-1.0,3.6637863480314916,3.586662741826505,3.7401444919255313,-0.002466167722429548,-0.0037952216912289054,-0.001223696494589048,0.010806617282685779,0.0052141196265512585,0.01632317843891325,392
phi2,distractor,distractor,2,False,1.0,-0.3242976324898856,-0.3767341101047944,-0.2711879036864456,-0.0023910318102155414,-0.003715558137212481,-0.0011631041765213014,0.004727807174734517,-0.0007996776882483036,0.01048988355260317,392
phi2,distractor,distractor,3,False,-1.0,3.5731414507846444,3.4970380872488023,3.6467347071487075,-0.00044612251982396964,-0.001353496373916159,0.0005386921824241165,-0.023732764380318776,-0.02990972257795788,-0.017203343826897304,392
phi2,distractor,distractor,3,False,1.0,-0.5916912701665139,-0.6620560138201227,-0.5177092403173448,-0.00038326029874840564,-0.0013040270732373608,0.0006054632517756246,-0.02792242270748632,-0.03522148764863306,-0.020594408621593396,392
phi2,distractor,distractor,4,False,-1.0,3.4052297339147453,3.33406623747884,3.47325056134438,-0.01065678255898612,-0.011959743560576925,-0.009426156841978735,-0.015770893518616554,-0.02284939941905794,-0.00904215097832842,392
phi2,distractor,distractor,4,False,1.0,0.04964139510174187,0.03192710140529944,0.06806097079296501,-0.010481540037661182,-0.011781472758371003,-0.009235052369078811,-0.0065445186329536695,-0.012660011162563245,-0.0006020848645644956,392
phi2,distractor,distractor,5,False,-1.0,2.911322603420335,2.8451117311205185,2.9762659449966584,0.0020245435286541376,0.00130658356510863,0.0027970706321755238,0.018382625514958176,0.011065088100984794,0.02529951279260674,392
phi2,distractor,distractor,5,False,1.0,-0.1438888335714535,-0.16587320602670008,-0.12155972640125122,0.00198875398051982,0.001265095448007389,0.0027707959924425395,-0.0001083442143031529,-0.008026446655494015,0.006736410596743732,392
phi2,distractor,distractor,6,False,-1.0,2.6076207647518235,2.5446200007686812,2.6747226372665285,-0.005061847823006766,-0.005948725160287351,-0.004229090469224112,0.02257956534015889,0.0155585236695348,0.029085595814549184,392
phi2,distractor,distractor,6,False,1.0,0.04673021910141925,0.02815988513888145,0.06640110824789318,-0.005086614161121602,-0.005972295877884845,-0.0042579784685251665,0.031443536687059466,0.02545816186739474,0.03782849802451879,392
phi2,distractor,distractor,7,False,-1.0,2.2274625374346364,2.167937885985083,2.287270043151719,0.0011512138405624702,0.0005030040838280503,0.0017993948289326256,-0.061504945463063766,-0.0684481620991311,-0.055112577680827814,392
phi2,distractor,distractor,7,False,1.0,-0.01749835695539202,-0.032852496480455205,-0.0012609110803020339,0.0013855817366619499,0.0007228189585160236,0.0020506373473576137,-0.040787942555485936,-0.046611160222364924,-0.034813335416268326,392
phi2,distractor,distractor,8,False,-1.0,2.1164900332081076,2.0603136287660013,2.174910953640938,-0.0010805519259705835,-0.001836625228122789,-0.00031034003715125894,-0.02649689207271654,-0.032069026450721586,-0.021068050058520568,392
phi2,distractor,distractor,8,False,1.0,-0.12986925183510295,-0.14373351438921322,-0.11515748129815472,-0.0011152685904989438,-0.00185889546968499,-0.00033582704407828195,-0.003934076854160855,-0.0089232388402329,0.000709699509906118,392
