model_tag,direction,position,layer,is_layer_0,alpha,real_mean,real_ci_lo,real_ci_hi,shuf_mean,shuf_ci_lo,shuf_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,n_items
qwen25_3b,distractor,distractor,0,True,-1.0,3.323760363520408,3.219982661033163,3.423611886160714,0.0052614795918367345,0.003726383131377551,0.006816007653061225,0.05581021471088435,0.04403001434948979,0.06707855017006802,392
qwen25_3b,distractor,distractor,0,True,1.0,0.0146484375,-0.03892000159438776,0.06355080117984686,0.006297831632653061,0.004941605548469388,0.007772640306122449,-4.650297619047609e-05,-0.008811649659863946,0.0084645381590136,392
qwen25_3b,distractor,distractor,1,False,-1.0,3.30159837372449,3.197244698660714,3.4007020288584187,-0.0017338966836734694,-0.0030293367346938774,-0.00033880739795918367,-0.0012422937925170062,-0.011426611660289115,0.008991682610544198,392
qwen25_3b,distractor,distractor,1,False,1.0,-0.025928730867346938,-0.09241569674744898,0.03925083705357138,-0.0003786670918367347,-0.001853974011479592,0.0011559311224489796,-0.015764508928571428,-0.024168593218537412,-0.0070536710778061305,392
qwen25_3b,distractor,distractor,2,False,-1.0,3.2200653698979593,3.117380819515306,3.3171331911670916,-0.0014548788265306123,-0.002830536511479592,-7.971938775510203e-05,-0.021285076530612245,-0.030327414168792522,-0.012834323182397961,392
qwen25_3b,distractor,distractor,2,False,1.0,0.11136798469387756,0.07463677853954082,0.15370944276147952,3.985969387755102e-05,-0.0012361487563775512,0.001295440051020408,-0.04012542517006802,-0.04968162069515307,-0.030723353794642867,392
qwen25_3b,distractor,distractor,3,False,-1.0,3.2346938775510203,3.132883250956633,3.3318852638711736,0.0008569834183673469,-0.0006980428890306122,0.0024115114795918366,0.00969919217687075,-7.374043367346835e-05,0.019472789115646247,392
qwen25_3b,distractor,distractor,3,False,1.0,0.059889190051020405,0.018111746651785714,0.09959343112244896,0.002551020408163265,0.001016422193877551,0.004145906409438773,-0.0195578231292517,-0.02970410820578231,-0.008476828231292519,392
qwen25_3b,distractor,distractor,4,False,-1.0,3.14241868622449,3.041107800542092,3.2382732780612242,-0.007573341836734694,-0.009706333705357142,-0.0055404974489795915,0.02030851403061224,0.008580795599489797,0.03137655452806123,392
qwen25_3b,distractor,distractor,4,False,1.0,-0.030572385204081634,-0.06541274713010205,0.00500288982780612,-0.005361128826530612,-0.0074936224489795915,-0.0033880739795918366,0.012403008078231293,0.0018787202380952375,0.023385516315901356,392
qwen25_3b,distractor,distractor,5,False,-1.0,3.1525829081632653,3.0527144451530615,3.2485655492665817,0.005082110969387755,0.003527582908163265,0.006696428571428571,0.003268494897959184,-0.011620097257653063,0.017551884034863945,392
qwen25_3b,distractor,distractor,5,False,1.0,-0.2767857142857143,-0.3257553411989796,-0.22897002551020412,0.0064572704081632655,0.0048828125,0.008091517857142858,-0.04790470875850341,-0.061570272640306116,-0.034372010522959184,392
qwen25_3b,distractor,distractor,6,False,-1.0,3.1081991390306123,3.0098159478635207,3.2043790856186227,-0.0031489158163265306,-0.0049824617346938774,-0.0013950892857142857,0.03344228316326531,0.021227778220663265,0.04615486819727889,392
qwen25_3b,distractor,distractor,6,False,1.0,-0.5505819515306123,-0.6592793367346939,-0.4455113002232143,-0.0015345982142857143,-0.0032689931441326533,9.964923469387755e-05,0.001461522108843537,-0.011187453497023811,0.014528360172193841,392
qwen25_3b,distractor,distractor,7,False,-1.0,2.5329838966836733,2.4442910953443877,2.622589485012755,-0.005341198979591837,-0.007135383450255102,-0.0034872249681122476,-0.0026174532312925164,-0.014766521843112243,0.009707164115646252,392
qwen25_3b,distractor,distractor,7,False,1.0,0.03575414540816327,-0.002413504464285714,0.07469856106505102,-0.003049266581632653,-0.0047831632653061226,-0.0012944435586734748,0.008051658163265306,-0.00595437393707483,0.022562579719387747,392
qwen25_3b,distractor,distractor,8,False,-1.0,2.5048828125,2.41485670440051,2.5942108777104593,0.0024314413265306123,0.0007971938775510204,0.004125976562499997,0.02944967049319728,0.015375544749149659,0.04373970291241496,392
qwen25_3b,distractor,distractor,8,False,1.0,-0.08055644132653061,-0.11268484933035713,-0.0471714564732143,0.003168845663265306,0.001653679049744898,0.004803093112244898,0.04385894982993197,0.030758231026785713,0.058003328284438764,392
qwen25_3b,distractor,distractor,9,False,-1.0,2.508490114795918,2.420410654496173,2.5948306959502547,-0.0027901785714285715,-0.004902742346938775,-0.0006571867028061252,-0.02494552508503401,-0.036877358365221095,-0.013996067176870757,392
qwen25_3b,distractor,distractor,9,False,1.0,-0.15921954719387754,-0.18244479432397961,-0.134725267059949,-0.0015345982142857143,-0.0036277303890306124,0.0006183235012755075,-0.01905293367346939,-0.031862676711309525,-0.00528689014668368,392
qwen25_3b,distractor,distractor,10,False,-1.0,2.4904735331632653,2.4016815808354592,2.5761937978316327,0.00607860331632653,0.004404496173469388,0.00763313137755102,-0.005547140731292515,-0.01619931175595238,0.004744133981717682,392
qwen25_3b,distractor,distractor,10,False,1.0,-0.11214524872448979,-0.13106016820790817,-0.09255171795280613,0.0074936224489795915,0.005878806600765306,0.009028220663265306,0.003813244047619048,-0.006990227731717687,0.014403632546768705,392
qwen25_3b,distractor,distractor,11,False,-1.0,2.4492785395408165,2.3620431082589284,2.5338453643176018,0.004743303571428571,0.0034080038265306123,0.006058673469387755,-0.0165218431122449,-0.02653459821428571,-0.006483179209183676,392
qwen25_3b,distractor,distractor,11,False,1.0,-0.015465561224489796,-0.03304418447066327,0.00281110491071428,0.007035235969387755,0.0057597257653061226,0.008191167091836735,0.0015013818027210886,-0.007701058939200681,0.010683560533588429,392
qwen25_3b,distractor,distractor,12,False,-1.0,2.423469387755102,2.3379429408482144,2.504728356186224,-0.0009167729591836735,-0.004344706632653061,0.0028504663584183647,-0.020919696003401357,-0.030154190582482993,-0.010900131536989804,392
qwen25_3b,distractor,distractor,12,False,1.0,-0.08777104591836735,-0.10798040896045918,-0.06660505022321428,-0.0007772640306122449,-0.0037483059630102037,0.002650669642857143,0.04260336947278912,0.03154213833971089,0.05343872900722788,392
qwen25_3b,distractor,distractor,13,False,-1.0,1.8201929209183674,1.7398542131696428,1.901371671715561,0.005859375,0.004503647161989796,0.007194674744897959,-0.08956473214285714,-0.10119828204719386,-0.07765299479166667,392
qwen25_3b,distractor,distractor,13,False,1.0,-0.1288265306122449,-0.15061334103954083,-0.10430883290816328,0.007314253826530612,0.005879304846938775,0.008689413265306123,-0.04134114583333333,-0.0512544177827381,-0.03105585007440477,392
qwen25_3b,distractor,distractor,14,False,-1.0,1.7676179846938775,1.6903145926339287,1.8474609375,0.005839445153061225,0.00448421556122449,0.007115453603316324,-0.12585034013605442,-0.1386725393282313,-0.1128660448554422,392
qwen25_3b,distractor,distractor,14,False,1.0,-0.09380978954081633,-0.11695033482142857,-0.0683384486607143,0.007095025510204082,0.005699936224489796,0.008410395408163265,-0.06325069090136054,-0.07257138206845239,-0.05358870110544219,392
qwen25_3b,distractor,distractor,15,False,-1.0,1.1916454081632653,1.1312579719387754,1.2551523636798467,0.016362404336734693,0.01403061224489796,0.018594547193877552,0.036564625850340135,0.02537717235331633,0.04807245163690475,392
qwen25_3b,distractor,distractor,15,False,1.0,-0.1950733418367347,-0.22346091757015307,-0.16369977678571432,0.015963807397959183,0.013552295918367346,0.018176020408163265,0.07702221513605442,0.06557467713647959,0.08882749388818027,392
qwen25_3b,distractor,distractor,16,False,-1.0,0.6610132334183674,0.6238809390943878,0.6998395647321428,0.0074338329081632655,0.00607860331632653,0.008808992346938776,-0.049306441326530615,-0.06087272799744897,-0.0377117546237245,392
qwen25_3b,distractor,distractor,16,False,1.0,-0.02654655612244898,-0.04353425940688775,-0.008468191964285724,0.009048150510204082,0.007692920918367347,0.010423309948979591,0.0499906994047619,0.03929435055272109,0.060414673681972786,392
qwen25_3b,distractor,distractor,17,False,-1.0,0.6454679528061225,0.611345065369898,0.6809849330357143,-0.004524075255102041,-0.005699936224489796,-0.003307856345663268,-0.011406515731292515,-0.019903439891581633,-0.0031753228635204088,392
qwen25_3b,distractor,distractor,17,False,1.0,-0.009865274234693877,-0.02525211256377551,0.006417908960459181,-0.002570950255102041,-0.0038668885522959184,-0.0013746611926020436,0.10390093537414967,0.09423396311649661,0.11414637143920069,392
qwen25_3b,distractor,distractor,18,False,-1.0,0.6207150829081632,0.5898009008290817,0.6522450972576531,-0.005321269132653061,-0.006536989795918368,-0.004025330835459186,0.017345610119047616,0.008880241549744898,0.025616828762755103,392
qwen25_3b,distractor,distractor,18,False,1.0,0.05016342474489796,0.03618861607142857,0.06489606584821427,-0.003826530612244898,-0.005022321428571429,-0.0026307397959183672,0.034770939625850344,0.02601509353741497,0.043846659757653055,392
qwen25_3b,distractor,distractor,19,False,-1.0,0.6545559630102041,0.6246806242028061,0.6857063137755102,-0.004842952806122449,-0.005859375,-0.003786670918367347,-0.050050488945578224,-0.05711329453656462,-0.0427626421662415,392
qwen25_3b,distractor,distractor,19,False,1.0,0.07796556122448979,0.06453234614158163,0.09259705835459182,-0.0031489158163265306,-0.0042251275510204085,-0.0021324936224489796,-0.026387117346938774,-0.03362879331420068,-0.019323481345663272,392
qwen25_3b,distractor,distractor,20,False,-1.0,0.6197783801020408,0.5906798070790816,0.6495944276147959,-0.012834821428571428,-0.014010682397959183,-0.011618602519132656,0.02044137967687075,0.012043606505102042,0.0291253122342687,392
qwen25_3b,distractor,distractor,20,False,1.0,0.02863919005102041,0.01594337930484694,0.043188476562499994,-0.011997767857142858,-0.013173628826530613,-0.01084133848852041,-0.020208864795918366,-0.027039155505952376,-0.012958552561649673,392
qwen25_3b,distractor,distractor,21,False,-1.0,0.5719467474489796,0.5433847855548469,0.6010448222257653,-0.004384566326530612,-0.005321269132653061,-0.0033880739795918366,0.07377365008503402,0.0677016900510204,0.07974662521258502,392
qwen25_3b,distractor,distractor,21,False,1.0,0.10387436224489796,0.0894645846619898,0.1201969068877551,-0.003208705357142857,-0.004165338010204082,-0.002232142857142857,0.024586787840136057,0.018427966889880954,0.03075175382653061,392
qwen25_3b,distractor,distractor,22,False,-1.0,0.5833864795918368,0.5545405173788266,0.6127680564413265,-0.0009566326530612245,-0.0021728515625,0.0001992984693877551,-0.02261373299319728,-0.02825022587159864,-0.016521344866071434,392
qwen25_3b,distractor,distractor,22,False,1.0,0.12830835459183673,0.1132209622130102,0.1454480229591837,-0.0007772640306122449,-0.002032844387755102,0.0004185267857142857,-0.03514960671768707,-0.04114201344600339,-0.02936297565901361,392
qwen25_3b,distractor,distractor,23,False,-1.0,0.6096540178571429,0.5813137755102041,0.6392333984374999,-0.0024912308673469387,-0.0035480110012755103,-0.0014947385204081632,-0.03226642219387755,-0.0371359481292517,-0.02737696641156463,392
qwen25_3b,distractor,distractor,23,False,1.0,0.21878985969387754,0.2012904575892857,0.23754733338647957,-0.0013352997448979591,-0.002372150031887755,-0.0003582389987244925,0.02001620960884354,0.01363849250637755,0.02653459821428571,392
qwen25_3b,distractor,distractor,24,False,-1.0,0.4771006058673469,0.45358288823341836,0.5021927814094387,0.006377551020408163,0.005500637755102041,0.00723453443877551,-0.08445604804421768,-0.08906000876913267,-0.0798117293792517,392
qwen25_3b,distractor,distractor,24,False,1.0,0.11441725127551021,0.10401237643494898,0.1256183235012755,0.0074338329081632655,0.0064572704081632655,0.00833117426658163,-0.03791985544217687,-0.04278971354166666,-0.033381829294217694,392
qwen25_3b,distractor,distractor,25,False,-1.0,0.45127152423469385,0.42781309789540817,0.47696508290816325,5.978954081632653e-05,-0.000896843112244898,0.0009571308992346911,0.12038291879251702,0.11410501700680271,0.1268403552827381,392
qwen25_3b,distractor,distractor,25,False,1.0,0.2496611926020408,0.23955626195790816,0.26016521843112245,0.001295440051020408,0.0003786670918367347,0.0022525709502550996,0.11914726828231292,0.11306152343749999,0.12549874441964284,392
